t=2026-02-28T09:21:02-0500 lvl=info msg="open config file" path=C:\\Users\\via\\Downloads\\KENIA\\.run\\ngrok_multi.yml err=nil
t=2026-02-28T09:21:02-0500 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-02-28T09:21:02-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-28T09:59:15-0500 lvl=info msg="join connections" obj=join id=ab54030bf641 l=[::1]:3000 r=132.184.55.198:48419
t=2026-02-28T09:59:16-0500 lvl=info msg="join connections" obj=join id=8efbfc6ec27d l=[::1]:3000 r=132.184.55.198:49169
t=2026-02-28T09:59:16-0500 lvl=info msg="join connections" obj=join id=6fb76fc23951 l=[::1]:3000 r=132.184.55.198:48419
t=2026-02-28T09:59:38-0500 lvl=info msg="join connections" obj=join id=2436cf306e6c l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:01:07-0500 lvl=info msg="join connections" obj=join id=c9160eed6ca3 l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:01:07-0500 lvl=info msg="join connections" obj=join id=1d663d31107e l=[::1]:3000 r=132.184.55.198:1046
t=2026-02-28T10:01:36-0500 lvl=info msg="join connections" obj=join id=d9582d8e1f94 l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:01:36-0500 lvl=info msg="join connections" obj=join id=15050aa2851a l=[::1]:3000 r=132.184.55.198:1046
t=2026-02-28T10:04:33-0500 lvl=info msg="join connections" obj=join id=910afe21b240 l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:04:33-0500 lvl=info msg="join connections" obj=join id=0559f0567e49 l=[::1]:3000 r=132.184.55.198:1046
t=2026-02-28T10:05:39-0500 lvl=info msg="join connections" obj=join id=9d3a4f537f9a l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:05:39-0500 lvl=info msg="join connections" obj=join id=d85c6234800b l=[::1]:3000 r=132.184.55.198:1046
t=2026-02-28T10:08:20-0500 lvl=info msg="join connections" obj=join id=174ba140da19 l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:08:20-0500 lvl=info msg="join connections" obj=join id=40b702def49e l=[::1]:3000 r=132.184.55.198:1046
t=2026-02-28T10:11:17-0500 lvl=info msg="join connections" obj=join id=92b30b523b9a l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:11:17-0500 lvl=info msg="join connections" obj=join id=9a82b7e039a0 l=[::1]:3000 r=132.184.55.198:1046
t=2026-02-28T10:12:07-0500 lvl=info msg="join connections" obj=join id=96ec65d367bb l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:12:07-0500 lvl=info msg="join connections" obj=join id=957c6e62eb08 l=[::1]:3000 r=132.184.55.198:1046
t=2026-02-28T10:12:20-0500 lvl=info msg="join connections" obj=join id=1f6c547f6c80 l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:12:20-0500 lvl=info msg="join connections" obj=join id=e3065692a138 l=[::1]:3000 r=132.184.55.198:1046
t=2026-02-28T10:13:14-0500 lvl=info msg="join connections" obj=join id=53a3cefe6b26 l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:13:14-0500 lvl=info msg="join connections" obj=join id=4e0e60ada5ba l=[::1]:3000 r=132.184.55.198:1046
t=2026-02-28T10:13:37-0500 lvl=info msg="join connections" obj=join id=894cade57759 l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:13:37-0500 lvl=info msg="join connections" obj=join id=674156bc74fd l=[::1]:3000 r=132.184.55.198:1046
t=2026-02-28T10:13:46-0500 lvl=info msg="join connections" obj=join id=f1c52e17f4b0 l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:13:47-0500 lvl=info msg="join connections" obj=join id=c1519d98ffba l=[::1]:3000 r=132.184.55.198:1046
t=2026-02-28T10:13:58-0500 lvl=info msg="join connections" obj=join id=e7245ab30633 l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:13:59-0500 lvl=info msg="join connections" obj=join id=431d0fedc916 l=[::1]:3000 r=132.184.55.198:1046
t=2026-02-28T10:16:07-0500 lvl=info msg="join connections" obj=join id=d6c31ed50de2 l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:16:08-0500 lvl=info msg="join connections" obj=join id=2f1e9b893010 l=[::1]:3000 r=132.184.55.198:1046
t=2026-02-28T10:16:25-0500 lvl=info msg="join connections" obj=join id=16ad55757f35 l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:16:25-0500 lvl=info msg="join connections" obj=join id=b75dcd89ae58 l=[::1]:3000 r=132.184.55.198:1046
t=2026-02-28T10:17:26-0500 lvl=info msg="join connections" obj=join id=6927d18fc1ad l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:17:26-0500 lvl=info msg="join connections" obj=join id=0fbd1443ac0d l=[::1]:3000 r=132.184.55.198:1046
t=2026-02-28T10:18:37-0500 lvl=info msg="join connections" obj=join id=35912033ed27 l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:18:37-0500 lvl=info msg="join connections" obj=join id=dc5807f97440 l=[::1]:3000 r=132.184.55.198:1046
t=2026-02-28T10:22:41-0500 lvl=info msg="join connections" obj=join id=c6b8de82018d l=[::1]:3000 r=132.184.55.198:65348
t=2026-02-28T10:22:41-0500 lvl=info msg="join connections" obj=join id=7d72ff7724b9 l=[::1]:3000 r=132.184.55.198:1046
t=2026-02-28T10:28:28-0500 lvl=info msg="join connections" obj=join id=2168da5e367e l=[::1]:3000 r=132.184.55.198:11606
t=2026-02-28T10:28:28-0500 lvl=info msg="join connections" obj=join id=34852334b218 l=[::1]:3000 r=132.184.55.198:11605
t=2026-02-28T10:29:35-0500 lvl=info msg="join connections" obj=join id=055b1a279c6c l=[::1]:3000 r=132.184.55.198:11606
t=2026-02-28T10:29:40-0500 lvl=info msg="join connections" obj=join id=813213ca5133 l=[::1]:3000 r=132.184.55.198:14869
t=2026-02-28T10:29:42-0500 lvl=info msg="join connections" obj=join id=46bf3d3a387a l=[::1]:3000 r=132.184.55.198:16290
t=2026-02-28T10:29:42-0500 lvl=info msg="join connections" obj=join id=25b929579434 l=[::1]:3000 r=132.184.55.198:14869
t=2026-02-28T10:29:49-0500 lvl=info msg="join connections" obj=join id=f5f61c5795ef l=[::1]:3000 r=132.184.55.198:11606
t=2026-02-28T10:30:12-0500 lvl=info msg="join connections" obj=join id=53c3c162529b l=[::1]:3000 r=132.184.55.198:11606
t=2026-02-28T10:30:12-0500 lvl=info msg="join connections" obj=join id=bd14776089ba l=[::1]:3000 r=132.184.55.198:11605
t=2026-02-28T10:35:42-0500 lvl=info msg="join connections" obj=join id=4cd4a60d3b1b l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:35:42-0500 lvl=info msg="join connections" obj=join id=b08986c9f9af l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:36:19-0500 lvl=info msg="join connections" obj=join id=f3bab752cbca l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:36:19-0500 lvl=info msg="join connections" obj=join id=6f84f8fb349d l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:36:35-0500 lvl=info msg="join connections" obj=join id=5789a4594eda l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:36:35-0500 lvl=info msg="join connections" obj=join id=ad9c32b2f6ea l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:36:44-0500 lvl=info msg="join connections" obj=join id=a87d0a2294da l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:36:44-0500 lvl=info msg="join connections" obj=join id=04313eaf3500 l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:37:01-0500 lvl=info msg="join connections" obj=join id=32f87e53e530 l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:37:02-0500 lvl=info msg="join connections" obj=join id=ccde9037b8ee l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:38:16-0500 lvl=info msg="join connections" obj=join id=eb37dbd29b50 l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:38:16-0500 lvl=info msg="join connections" obj=join id=d8bee376d985 l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:40:00-0500 lvl=info msg="join connections" obj=join id=cb7c6841fb3c l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:40:01-0500 lvl=info msg="join connections" obj=join id=be65c36b139b l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:40:13-0500 lvl=info msg="join connections" obj=join id=11980e27d9f5 l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:40:13-0500 lvl=info msg="join connections" obj=join id=bf5dda86068f l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:40:25-0500 lvl=info msg="join connections" obj=join id=e4358b0e72da l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:40:26-0500 lvl=info msg="join connections" obj=join id=b3e6c8590505 l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:40:50-0500 lvl=info msg="join connections" obj=join id=da40cbdfef6d l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:40:50-0500 lvl=info msg="join connections" obj=join id=41866139d8e4 l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:41:04-0500 lvl=info msg="join connections" obj=join id=42f91932e2f1 l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:41:04-0500 lvl=info msg="join connections" obj=join id=a56022c61017 l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:42:06-0500 lvl=info msg="join connections" obj=join id=295e7589cdd1 l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:42:06-0500 lvl=info msg="join connections" obj=join id=04245504dc34 l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:42:45-0500 lvl=info msg="join connections" obj=join id=0ec3de413652 l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:43:04-0500 lvl=info msg="join connections" obj=join id=4525f4892cc3 l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:43:04-0500 lvl=info msg="join connections" obj=join id=f731f1b1248d l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:44:01-0500 lvl=info msg="join connections" obj=join id=922570a6e69c l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:44:01-0500 lvl=info msg="join connections" obj=join id=a9b96c47cd56 l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:46:16-0500 lvl=info msg="join connections" obj=join id=ea835623d5d5 l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:46:16-0500 lvl=info msg="join connections" obj=join id=f9c89c177de8 l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:48:37-0500 lvl=info msg="join connections" obj=join id=df147b12afc2 l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:48:37-0500 lvl=info msg="join connections" obj=join id=b376f8c36854 l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:49:58-0500 lvl=info msg="join connections" obj=join id=6437ba43201b l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:49:58-0500 lvl=info msg="join connections" obj=join id=a9a867a4b1b4 l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:52:43-0500 lvl=info msg="join connections" obj=join id=e02b48a0127f l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:52:43-0500 lvl=info msg="join connections" obj=join id=4a7b4e2df99c l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:53:53-0500 lvl=info msg="join connections" obj=join id=e199cd72e061 l=[::1]:3000 r=132.184.55.198:60770
t=2026-02-28T10:53:53-0500 lvl=info msg="join connections" obj=join id=5871aa460b4e l=[::1]:3000 r=132.184.55.198:60851
t=2026-02-28T10:59:59-0500 lvl=info msg="join connections" obj=join id=1eb3fcc7ad5d l=[::1]:3000 r=132.184.55.198:54897
t=2026-02-28T11:00:00-0500 lvl=info msg="join connections" obj=join id=8b9125c1aa84 l=[::1]:3000 r=132.184.55.198:54897
t=2026-02-28T11:00:01-0500 lvl=info msg="join connections" obj=join id=2259426047ed l=[::1]:3000 r=132.184.55.198:56831
